id,title,date,category,url
18,Australia National Day,"January 25, 2025",press_release,https://www.state.gov/australia-national-day/
19,Bangladesh National Day,"March 25, 2025",press_release,https://www.state.gov/bangladesh-national-day/
20,Biographies,,press_release,https://www.state.gov/biographies-list/
21,Border Agreement between the Kyrgyz Republic and Tajikistan,"March 14, 2025",press_release,https://www.state.gov/border-agreement-between-the-kyrgyz-republic-and-tajikistan/
22,Brunei National Day,"February 23, 2025",press_release,https://www.state.gov/brunei-national-day/
23,Building an America First State Department,"April 22, 2025",press_release,https://www.state.gov/building-an-america-first-state-department/
24,Bulgaria National Day,"March 3, 2025",press_release,https://www.state.gov/bulgaria-national-day/
25,Bureaus and Offices,,press_release,https://www.state.gov/bureaus-and-offices-list/
26,Bureau of Overseas Buildings Operations,,press_release,https://www.state.gov/bureaus-offices/bureau-of-overseas-buildings-operations/
27,Deputy Secretary of State for Management and Resources,,press_release,https://www.state.gov/bureaus-offices/deputy-secretary-of-state-for-management-and-resources/
28,Bureau of Intelligence and Research,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/bureau-of-intelligence-and-research/
29,Bureau of Legislative Affairs,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/bureau-of-legislative-affairs/
30,Counselor of the Department,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/counselor-of-the-department/
31,Executive Secretariat,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/executive-secretariat/
32,Office of Civil Rights,"January 3, 2017",press_release,https://www.state.gov/bureaus-offices/secretary-of-state/office-of-civil-rights-and-ombudsman/
33,Office of Policy Planning,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/office-of-policy-planning/
34,Office of the Chief of Protocol,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/office-of-the-chief-of-protocol/
35,Office of the Legal Adviser,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/office-of-the-legal-adviser/
36,Office of the Spokesperson,"January 20, 2025",press_release,https://www.state.gov/bureaus-offices/secretary-of-state/office-of-the-spokesperson/
37,Office of the Special Presidential Envoy for Hostage Affairs,,press_release,https://www.state.gov/bureaus-offices/secretary-of-state/special-presidential-envoy-for-hostage-affairs/
38,Under Secretary for Arms Control and International Security,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/
39,Bureau of Arms Control and Nonproliferation,"March 26, 2025",press_release,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/bureau-of-arms-control-and-nonproliferation/
40,Bureau of Counterterrorism,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/bureau-of-counterterrorism/
41,Bureau of International Narcotics and Law Enforcement Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/bureau-of-international-narcotics-and-law-enforcement-affairs/
42,Bureau of Political-Military Affairs,"March 17, 2026",press_release,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/bureau-of-political-military-affairs/
43,Office of the AUKUS Senior Advisor,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-arms-control-and-international-security-affairs/office-of-the-aukus-senior-advisor/
44,Under Secretary for Economic Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-economic-affairs/
45,Bureau of Cyberspace and Digital Policy,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-economic-affairs/bureau-of-cyberspace-and-digital-policy/
46,"Bureau of Economic, Energy, and Business Affairs",,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-economic-affairs/bureau-of-economic-energy-and-business-affairs/
47,Bureau of Oceans and International Environmental and Scientific Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-economic-affairs/bureau-of-oceans-and-international-environmental-and-scientific-affairs/
48,Office of the Chief Economist,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-economic-affairs/office-of-the-chief-economist/
49,"Under Secretary for Foreign Assistance, Humanitarian Affairs, and Religious Freedom",,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-foreign-assistance-humanitarian-affairs-and-religious-freedom/
50,"Bureau of Democracy, Human Rights, and Labor",,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-foreign-assistance-humanitarian-affairs-and-religious-freedom/bureau-of-democracy-human-rights-and-labor/
51,Bureau of Disaster and Humanitarian Response,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-foreign-assistance-humanitarian-affairs-and-religious-freedom/bureau-of-disaster-and-humanitarian-response/
52,Bureau of Global Health Security and Diplomacy,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-foreign-assistance-humanitarian-affairs-and-religious-freedom/bureau-of-global-health-security-and-diplomacy/
53,"Bureau of Population, Refugees, and Migration",,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-foreign-assistance-humanitarian-affairs-and-religious-freedom/bureau-of-population-refugees-and-migration/
54,Office of Foreign Assistance Oversight,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-foreign-assistance-humanitarian-affairs-and-religious-freedom/office-of-foreign-assistance-oversight/
55,Under Secretary for Management,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/
56,Bureau of Administration,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-administration/
57,Bureau of Budget and Planning,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-budget-and-planning/
58,Bureau of Consular Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-consular-affairs/
59,Bureau of Diplomatic Security,"April 4, 1916",press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-diplomatic-security/
60,Bureau of Diplomatic Technology,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-diplomatic-technology/
61,Bureau of Human Resources,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-human-resources/
62,Bureau of Medical Services,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-medical-services/
63,Bureau of the Comptroller and Global Financial Services,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-the-comptroller-and-global-financial-services/
64,Director of Diplomatic Reception Rooms,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/diplomatic-reception-rooms/
65,Office of Foreign Missions,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-management/office-of-foreign-missions/
66,Under Secretary for Political Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/
67,Bureau of African Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-african-affairs/
68,Bureau of East Asian and Pacific Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-east-asian-and-pacific-affairs/
69,Bureau of European and Eurasian Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-european-and-eurasian-affairs/
70,Bureau of International Organizations,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-international-organization/
71,Bureau of Near Eastern Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-near-eastern-affairs/
72,Bureau of South and Central Asian Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-south-and-central-asian-affairs/
73,Bureau of Western Hemisphere Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-political-affairs/bureau-of-western-hemisphere-affairs/
74,Bureau of Global Public Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/bureau-of-global-public-affairs/
75,"Office of Policy, Planning, and Resources for Public Diplomacy",,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/office-of-policy-planning-and-resources-for-public-diplomacy/
76,Global Partnerships Unit,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/office-of-policy-planning-and-resources-for-public-diplomacy/global-partnerships-unit/
77,Under Secretary for Public Diplomacy,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy/
78,Bureau of Educational and Cultural Affairs,,press_release,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy/bureau-of-educational-and-cultural-affairs/
79,Burma’s Thingyan Festival and New Year 2025,"April 13, 2025",press_release,https://www.state.gov/burmas-thingyan-festival-and-new-year-2025/
80,Doing Business with Department of State,,press_release,https://www.state.gov/business/
81,Celebrating the Lunar New Year,"January 28, 2025",press_release,https://www.state.gov/celebrating-the-lunar-new-year/
82,Certification of Cuba as a Not Fully Cooperating Country,"May 13, 2025",press_release,https://www.state.gov/certification-of-cuba-as-a-not-fully-cooperating-country/
83,Commemorating the 50th Anniversary of the Biological Weapons Convention,"March 26, 2025",press_release,https://www.state.gov/commemorating-the-50th-anniversary-of-the-biological-weapons-convention/
84,Commemorating the National Days of Remembrance of Victims of the Holocaust,"April 24, 2025",press_release,https://www.state.gov/commemorating-the-national-days-of-remembrance-of-victims-of-the-holocaust/
85,Condolences on the Devastating Wildfires in the Republic of Korea,"March 27, 2025",press_release,https://www.state.gov/condolences-on-the-devastating-wildfires-in-the-republic-of-korea/
86,Congratulations to Ecuador’s President Noboa on Reelection,"April 14, 2025",press_release,https://www.state.gov/congratulations-to-ecuadors-president-noboa-on-reelection/
87,Congratulations to the Belizean People on Their Democratic Election,"March 14, 2025",press_release,https://www.state.gov/congratulations-to-the-belizean-people-on-their-democratic-election/
88,Copyright Information,"January 20, 2025",press_release,https://www.state.gov/copyright-information
89,Countries and Areas,,press_release,https://www.state.gov/countries-and-areas-list/
90,Afghanistan,"March 24, 2026",press_release,https://www.state.gov/countries-areas/afghanistan/
91,Antigua and Barbuda,"February 25, 2026",press_release,https://www.state.gov/countries-areas/antigua-and-barbuda/
92,Argentina,"March 25, 2026",press_release,https://www.state.gov/countries-areas/argentina/
93,Australia,"February 27, 2026",press_release,https://www.state.gov/countries-areas/australia/
94,Azerbaijan,"March 25, 2026",press_release,https://www.state.gov/countries-areas/azerbaijan/
95,The Bahamas,"February 25, 2026",press_release,https://www.state.gov/countries-areas/bahamas/
96,Bangladesh,"March 25, 2026",press_release,https://www.state.gov/countries-areas/bangladesh/
97,Barbados,"February 25, 2026",press_release,https://www.state.gov/countries-areas/barbados/
98,Bosnia and Herzegovina,"March 26, 2026",press_release,https://www.state.gov/countries-areas/bosnia-and-herzegovina/
99,Botswana,"December 23, 2025",press_release,https://www.state.gov/countries-areas/botswana/
100,Bulgaria,"March 25, 2026",press_release,https://www.state.gov/countries-areas/bulgaria/
101,Burkina Faso,"February 25, 2026",press_release,https://www.state.gov/countries-areas/burkina-faso/
102,Cabo Verde,"December 5, 2025",press_release,https://www.state.gov/countries-areas/cabo-verde/
103,Cambodia,"April 6, 2026",press_release,https://www.state.gov/countries-areas/cambodia/
104,Cameroon,"March 10, 2026",press_release,https://www.state.gov/countries-areas/cameroon/
105,Central African Republic,"December 1, 2025",press_release,https://www.state.gov/countries-areas/central-african-republic/
106,Colombia,"January 23, 2026",press_release,https://www.state.gov/countries-areas/colombia/
107,Cook Islands,"August 7, 2025",press_release,https://www.state.gov/countries-areas/cook-islands/
108,Costa Rica,"March 7, 2026",press_release,https://www.state.gov/countries-areas/costa-rica/
109,Côte d’Ivoire,"December 30, 2025",press_release,https://www.state.gov/countries-areas/cote-divoire
110,Democratic Republic of the Congo,"March 18, 2026",press_release,https://www.state.gov/countries-areas/democratic-republic-of-the-congo/
111,Djibouti,"February 3, 2026",press_release,https://www.state.gov/countries-areas/djibouti/
112,Dominica,"February 25, 2026",press_release,https://www.state.gov/countries-areas/dominica/
113,Dominican Republic,"February 27, 2026",press_release,https://www.state.gov/countries-areas/dominican-republic/
114,El Salvador,"March 25, 2026",press_release,https://www.state.gov/countries-areas/el-salvador/
115,Equatorial Guinea,"October 12, 2025",press_release,https://www.state.gov/countries-areas/equatorial-guinea/
116,Eswatini,"December 12, 2025",press_release,https://www.state.gov/countries-areas/eswatini/
117,Ethiopia,"March 11, 2026",press_release,https://www.state.gov/countries-areas/ethiopia/
118,The Gambia,"February 18, 2026",press_release,https://www.state.gov/countries-areas/gambia/
119,Guatemala,"March 19, 2026",press_release,https://www.state.gov/countries-areas/guatemala/
120,Guinea-Bissau,"September 24, 2025",press_release,https://www.state.gov/countries-areas/guinea-bissau/
121,Holy See,"January 15, 2026",press_release,https://www.state.gov/countries-areas/holy-see/
122,Honduras,"March 13, 2026",press_release,https://www.state.gov/countries-areas/honduras/
123,Indonesia,"March 25, 2026",press_release,https://www.state.gov/countries-areas/indonesia/
124,Kazakhstan,"March 25, 2026",press_release,https://www.state.gov/countries-areas/kazakhstan/
125,Kiribati,"August 11, 2025",press_release,https://www.state.gov/countries-areas/kiribati/
126,Kyrgyzstan,"February 3, 2026",press_release,https://www.state.gov/countries-areas/kyrgyzstan/
127,Liechtenstein,"August 15, 2025",press_release,https://www.state.gov/countries-areas/liechtenstein/
128,Lithuania,"February 16, 2026",press_release,https://www.state.gov/countries-areas/lithuania/
129,Luxembourg,"June 23, 2025",press_release,https://www.state.gov/countries-areas/luxembourg/
130,Madagascar,"December 23, 2025",press_release,https://www.state.gov/countries-areas/madagascar/
131,Malaysia,"December 2, 2025",press_release,https://www.state.gov/countries-areas/malaysia/
132,Maldives,"March 18, 2026",press_release,https://www.state.gov/countries-areas/maldives/
133,Marshall Islands,"March 27, 2026",press_release,https://www.state.gov/countries-areas/marshall-islands/
134,Mauritania,"November 28, 2025",press_release,https://www.state.gov/countries-areas/mauritania/
135,Mauritius,"March 12, 2026",press_release,https://www.state.gov/countries-areas/mauritius/
136,Micronesia,"November 2, 2025",press_release,https://www.state.gov/countries-areas/micronesia/
137,Mongolia,"March 25, 2026",press_release,https://www.state.gov/countries-areas/mongolia/
138,Montenegro,"September 10, 2025",press_release,https://www.state.gov/countries-areas/montenegro/
139,Mozambique,"December 15, 2025",press_release,https://www.state.gov/countries-areas/mozambique/
140,Netherlands,"March 30, 2026",press_release,https://www.state.gov/countries-areas/netherlands/
141,New Zealand,"April 7, 2026",press_release,https://www.state.gov/countries-areas/new-zealand/
142,Nicaragua,"February 26, 2026",press_release,https://www.state.gov/countries-areas/nicaragua/
143,North Korea,"March 12, 2026",press_release,https://www.state.gov/countries-areas/north-korea/
144,North Macedonia,"April 7, 2026",press_release,https://www.state.gov/countries-areas/north-macedonia/
145,Pakistan,"March 25, 2026",press_release,https://www.state.gov/countries-areas/pakistan/
146,Palestinian Territories,"January 21, 2026",press_release,https://www.state.gov/countries-areas/palestinian-territories/
147,Papua New Guinea,"September 22, 2025",press_release,https://www.state.gov/countries-areas/papua-new-guinea/
148,Paraguay,"March 25, 2026",press_release,https://www.state.gov/countries-areas/paraguay/
149,Philippines,"February 16, 2026",press_release,https://www.state.gov/countries-areas/philippines/
150,Portugal,"March 31, 2026",press_release,https://www.state.gov/countries-areas/portugal/
151,Republic of the Congo,"September 29, 2025",press_release,https://www.state.gov/countries-areas/republic-of-the-congo/
152,Saint Kitts and Nevis,"February 25, 2026",press_release,https://www.state.gov/countries-areas/saint-kitts-and-nevis/
153,Saint Lucia,"February 25, 2026",press_release,https://www.state.gov/countries-areas/saint-lucia/
154,Saint Vincent and the Grenadines,"February 25, 2026",press_release,https://www.state.gov/countries-areas/saint-vincent-and-the-grenadines/
155,San Marino,"September 3, 2025",press_release,https://www.state.gov/countries-areas/san-marino/
156,Sao Tome and Principe,"July 12, 2025",press_release,https://www.state.gov/countries-areas/sao-tome-and-principe/
157,Saudi Arabia,"March 25, 2026",press_release,https://www.state.gov/countries-areas/saudi-arabia/
158,Seychelles,"June 29, 2025",press_release,https://www.state.gov/countries-areas/seychelles/
159,Sierra Leone,"February 3, 2026",press_release,https://www.state.gov/countries-areas/sierra-leone/
160,Singapore,"April 1, 2026",press_release,https://www.state.gov/countries-areas/singapore/
161,Slovakia,"February 16, 2026",press_release,https://www.state.gov/countries-areas/slovakia/
162,Slovenia,"December 2, 2025",press_release,https://www.state.gov/countries-areas/slovenia/
163,Solomon Islands,"September 29, 2025",press_release,https://www.state.gov/countries-areas/solomon-islands/
164,South Africa,"December 18, 2025",press_release,https://www.state.gov/countries-areas/south-africa/
165,South Korea,"April 1, 2026",press_release,https://www.state.gov/countries-areas/south-korea/
166,South Sudan,"December 18, 2025",press_release,https://www.state.gov/countries-areas/south-sudan/
167,Sri Lanka,"March 18, 2026",press_release,https://www.state.gov/countries-areas/sri-lanka/
168,Suriname,"February 25, 2026",press_release,https://www.state.gov/countries-areas/suriname/
169,Switzerland,"March 5, 2026",press_release,https://www.state.gov/countries-areas/switzerland/
170,Tajikistan,"April 7, 2026",press_release,https://www.state.gov/countries-areas/tajikistan/
171,Tanzania,"December 4, 2025",press_release,https://www.state.gov/countries-areas/tanzania/
172,Thailand,"March 21, 2026",press_release,https://www.state.gov/countries-areas/thailand/
173,Timor-Leste,"May 20, 2025",press_release,https://www.state.gov/countries-areas/timor-leste/
174,Trinidad and Tobago,"February 25, 2026",press_release,https://www.state.gov/countries-areas/trinidad-and-tobago/
175,Turkey (Türkiye),"March 25, 2026",press_release,https://www.state.gov/countries-areas/turkey/
176,Turkmenistan,"January 30, 2026",press_release,https://www.state.gov/countries-areas/turkmenistan/
177,United Arab Emirates,"April 6, 2026",press_release,https://www.state.gov/countries-areas/united-arab-emirates/
178,United Kingdom,"April 7, 2026",press_release,https://www.state.gov/countries-areas/united-kingdom/
179,Uzbekistan,"April 7, 2026",press_release,https://www.state.gov/countries-areas/uzbekistan/
180,Venezuela,"March 31, 2026",press_release,https://www.state.gov/countries-areas/venezuela/
181,Zimbabwe,"June 2, 2025",press_release,https://www.state.gov/countries-areas/zimbabwe/
182,Defending America’s Security through Visa and Travel Restrictions on South Sudan,"April 5, 2025",press_release,https://www.state.gov/defending-americas-security-through-visa-and-travel-restrictions-on-south-sudan/
183,Department Email Updates,,press_release,https://www.state.gov/department-email-updates/
184,Department of State Implements Legislative Changes to Expand Diplomatic Construction Projects Contractor Base,"April 8, 2025",press_release,https://www.state.gov/department-of-state-implements-legislative-changes-to-expand-diplomatic-construction-projects-contractor-base/
185,Press Briefings,"April 1, 2026",press_release,https://www.state.gov/department-press-briefings/
186,Department Reports and Publications,,press_release,https://www.state.gov/department-reports/
187,Deputy Secretary Landau’s Call with Argentine Foreign Minister Werthein,"March 26, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-argentine-foreign-minister-werthein/
188,Deputy Secretary Landau’s Call with Australian Secretary of the Department of Foreign Affairs and Trade Adams,"April 9, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-australian-secretary-of-the-department-of-foreign-affairs-and-trade-adams/
189,Deputy Secretary Landau’s Call with Dominican Republic Foreign Minister Alvarez,"April 4, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-dominican-republic-foreign-minister-alvarez/
190,Deputy Secretary Landau’s Call with El Salvador’s Foreign Minister Hill,"April 9, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-el-salvadors-foreign-minister-hill/
191,Deputy Secretary Landau’s Call with Greek Deputy Foreign Minister Papadopoulou,"April 16, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-greek-deputy-foreign-minister-papadopoulou/
192,Deputy Secretary Landau’s Call with Indian Foreign Secretary Misri,"March 28, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-indian-foreign-secretary-misri/
193,Deputy Secretary Landau’s Call with Japanese Vice Foreign Minister Funakoshi,"March 26, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-japanese-vice-foreign-minister-funakoshi/
194,Deputy Secretary Landau’s Call with Mexican Foreign Secretary de la Fuente,"March 26, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-mexican-foreign-secretary-de-la-fuente/
195,Deputy Secretary Landau’s Call with Nigerian Foreign Minister Tuggar,"April 4, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-nigerian-foreign-minister-tuggar/
196,Deputy Secretary Landau’s Call with Panamanian Foreign Minister Martínez-Acha,"April 4, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-panamanian-foreign-minister-martinez-acha/
197,Deputy Secretary Landau’s Call with Paraguayan Foreign Minister Ramírez,"March 28, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-paraguayan-foreign-minister-ramirez/
198,Deputy Secretary Landau’s Call with Republic of Korea First Vice Foreign Minister Kim Hong-kyun,"April 1, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-republic-of-korea-first-vice-foreign-minister-kim-hong-kyun/
199,Deputy Secretary Landau’s Call with Saudi Deputy Foreign Minister Al-Khuraiji,"May 7, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-saudi-deputy-foreign-minister-al-khuraiji/
200,Deputy Secretary Landau’s Call with Singaporean Ministry of Foreign Affairs Permanent Secretary Chua,"April 8, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-singaporean-ministry-of-foreign-affairs-permanent-secretary-chua/
201,Deputy Secretary Landau’s Call with Spanish State Secretary for Foreign and Global Affairs Martínez Belío,"March 28, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-spanish-state-secretary-for-foreign-and-global-affairs-martinez-belio/
202,Deputy Secretary Landau’s Call with UAE Assistant Foreign Minister Nusseibeh,"March 28, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-call-with-uae-assistant-foreign-minister-nusseibeh/
203,Deputy Secretary Landau’s Meeting with Guatemalan Foreign Minister Martinez,"April 25, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-meeting-with-guatemalan-foreign-minister-martinez/
204,Deputy Secretary Landau’s Meeting with Gulf Cooperation Council Secretary General Albudaiwi,"April 10, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-meeting-with-gulf-cooperation-council-secretary-general-albudaiwi/
205,Deputy Secretary Landau’s Meeting with Peruvian Foreign Minister Schialer,"April 8, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-meeting-with-peruvian-foreign-minister-schialer/
206,Deputy Secretary Landau’s Meeting with Qatari Minister of State Al Khulaifi,"April 22, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-meeting-with-qatari-minister-of-state-al-khulaifi/
207,Deputy Secretary Landau’s meeting with UK Permanent Under Secretary Robbins,"April 10, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-meeting-with-uk-permanent-under-secretary-robbins/
208,Deputy Secretary Landau’s Meeting with Uzbekistan National Security Council Deputy Chairman Kamilov,"April 7, 2025",press_release,https://www.state.gov/deputy-secretary-landaus-meeting-with-uzbekistan-national-security-council-deputy-chairman-kamilov/
209,Deputy Secretary of State Christopher Landau at the 2025 SelectUSA Investment Summit,"May 13, 2025",press_release,https://www.state.gov/deputy-secretary-of-state-christopher-landau-at-the-2025-selectusa-investment-summit/
210,Deputy Secretary of State Christopher Landau at the Foreign Affairs Day Opening Plenary Session,"May 2, 2025",press_release,https://www.state.gov/deputy-secretary-of-state-christopher-landau-at-the-foreign-affairs-day-opening-plenary-session/
211,Deputy Secretary of State Landau’s Call with Canadian Deputy Foreign Minister Morrison,"April 9, 2025",press_release,https://www.state.gov/deputy-secretary-of-state-landaus-call-with-canadian-deputy-foreign-minister-morrison/
212,Deputy Secretary of State,,press_release,https://www.state.gov/deputy-secretary-of-state/
213,Designation of Ansarallah as a Foreign Terrorist Organization,"March 4, 2025",press_release,https://www.state.gov/designation-of-ansarallah-as-a-foreign-terrorist-organization/
214,Designation of Former President of Argentina and Former Minister of Planning of Argentina for Involvement in Significant Corruption,"March 21, 2025",press_release,https://www.state.gov/designation-of-former-president-of-argentina-and-former-minister-of-planning-of-argentina-for-involvement-in-significant-corruption/
215,Designation of International Cartels,"February 20, 2025",press_release,https://www.state.gov/designation-of-international-cartels/
216,Designation of Viv Ansanm and Gran Grif,"May 2, 2025",press_release,https://www.state.gov/designation-of-viv-ansanm-and-gran-grif/
217,Digital Government Strategy,"May 23, 2012",press_release,https://www.state.gov/digital-government-strategy
218,Domestic Impact,,press_release,https://www.state.gov/domestic-impact/
219,Dominican Republic National Day,"February 27, 2025",press_release,https://www.state.gov/dominican-republic-national-day/
220,EEO/No FEAR Act & Whistleblower Protection Acts,"January 16, 2026",press_release,https://www.state.gov/eeo-no-fear-act-whistleblower-protection-acts
221,Emergency Humanitarian Waiver to Foreign Assistance Pause,"January 29, 2025",press_release,https://www.state.gov/emergency-humanitarian-waiver-to-foreign-assistance-pause-2/
222,Employee and Community Resources,,press_release,https://www.state.gov/employees/
